station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
119,36.34952,127.43276,dong-gu,10,0.142157895,1.621772556,3.01,14.83214286,448.8539474,2
66,36.34571,127.34036,yuseong-gu,23,0.168459302,1.874023256,2.115,30.21627907,4.548837209,2
154,36.34798,127.41639,daedeog-gu,32,0.138432388,1.654281389,2.743333333,16.41577711,40.31652177,2
7,36.36205,127.3797,seo-gu,22,0.182039211,1.969728517,2.903333333,22.88236061,201.6096348,2
95,36.31692,127.45917,dong-gu,11,0.140171119,1.489611644,1.64,62.95377854,15.43561644,2
217,36.30054,127.37889,seo-gu,30,0.165885716,1.805809954,1.675,31.59620893,3.554200324,2
176,36.29931,127.33498,seo-gu,7,0.335611427,3.544513985,0.86,40.04595246,37.97157654,2
192,36.31763,127.42572,jung-gu,22,0.155111267,1.702850447,2.296666667,22.08936662,201.5364988,2
15,36.35542,127.39008,seo-gu,45,0.141351603,1.793649981,3.166666667,16.98392297,92.04942951,2
174,36.30495,127.35299,seo-gu,16,0.229145596,2.44684685,1.855,33.45064935,14.45248255,2
188,36.29877,127.32955,seo-gu,4,0.237865362,2.968855006,1.315,34.13348677,10.19735328,2
41,36.35373,127.36185,seo-gu,5,0.165028583,1.964989566,3.385,25.8076685,40.10940905,2
117,36.35066,127.44041,dong-gu,26,0.193675087,2.533023044,3.3375,22.12315374,5.772931776,2
9,36.36166,127.37418,seo-gu,23,0.324397436,3.219884615,0.57,32.52051282,6.665384615,2
44,36.35449,127.38281,seo-gu,43,0.157961975,1.778125527,3.0875,19.76720815,332.4317315,2
195,36.31018,127.40828,jung-gu,24,0.278225344,3.207347833,1.16,33.42216933,7.690306234,2
100,36.30699,127.45713,dong-gu,3,0.13464488,1.424095314,1.3,5.471194109,73.71901622,2
37,36.35791,127.39764,seo-gu,24,0.119723647,1.588813479,2.943333333,15.54907407,96.83912037,2
42,36.35342,127.3679,seo-gu,23,0.176904872,2.192197783,2.9775,23.19487732,54.45810633,2
202,36.32053,127.34401,seo-gu,9,0.173725245,1.8794166,2.213333333,29.49683106,13.19908936,2
11,36.35881,127.37416,seo-gu,14,0.163764144,1.890573392,2.965,23.88143613,218.0537768,2
153,36.32961,127.44245,dong-gu,31,0.139457215,1.596195781,2.27,13.77061621,53.89458324,2
1,36.37458,127.38613,yuseong-gu,13,0.180473684,2.264392713,2.87,31.68353576,21.06504723,2
168,36.34101,127.43565,dong-gu,17,0.142035706,1.595596997,2.02,0.858731924,206.983667,2
138,36.31648,127.40735,jung-gu,3,0.284276606,3.254617268,1.423333333,33.52804464,8.357297859,2
133,36.32873,127.40585,jung-gu,25,0.156438569,1.933837752,3.27,28.41669417,310.2004291,2
43,36.35333,127.37441,seo-gu,48,0.15867811,1.824228964,3.426666667,12.02675765,495.668955,2
82,36.36604,127.44487,daedeog-gu,14,0.194222591,2.704442968,3.815,31.55570321,8.030786268,2
27,36.37715,127.37938,yuseong-gu,14,0.134317597,1.649622318,3.84,24.03261803,657.8334764,2
92,36.31791,127.3947,jung-gu,5,0.271983471,3.288099174,1.47,35.01652893,6.140495868,2
149,36.34571,127.33889,yuseong-gu,8,0.168459302,1.874023256,2.115,30.21627907,4.548837209,2
5,36.36497,127.38886,seo-gu,17,0.205952381,2.141190476,1.59,36.45238095,18.85714286,2
150,36.31241,127.34994,seo-gu,6,0.172606838,1.805644911,1.446666667,30.71056721,7.526418026,2
193,36.30969,127.44199,jung-gu,4,0.167665198,1.49215859,0.69,7.136563877,1684.726872,2
190,36.30376,127.31846,yuseong-gu,6,0.259983725,3.105487579,0.993333333,34.53256145,5.412528889,2
189,36.29976,127.32035,yuseong-gu,18,0.25812995,3.120131578,1.115,34.49819667,5.541377419,2
34,36.35821,127.36614,seo-gu,24,0.189210139,2.329324819,3.45,28.23773102,254.3024536,2
115,36.35749,127.43432,dong-gu,12,0.18430488,2.423001281,3.5425,30.10602932,31.81164945,2
220,36.30958,127.3881,jung-gu,8,0.248420491,2.854729739,1.653333333,33.2850323,6.183842261,2
31,36.36177,127.35748,yuseong-gu,85,0.180692579,1.878728283,3.04,26.59856092,882.7710184,2
140,36.32759,127.42086,jung-gu,20,0.138316547,1.655470616,3.435,28.73440044,238.4059196,2
62,36.35026,127.34059,yuseong-gu,14,0.184042636,2.006750529,2.405,30.99809725,5.418534179,2
197,36.32018,127.37767,seo-gu,17,0.251169816,3.028983133,1.55,31.16173995,21.55646197,2
121,36.34714,127.43151,dong-gu,19,0.152246964,1.749357287,2.975,21.38107287,208.0632591,2
71,36.37147,127.42859,daedeog-gu,12,0.197566288,2.707954545,3.675,32.02935606,9.724431818,2
112,36.33193,127.38535,seo-gu,14,0.250496521,3.109424415,2.07,31.44671094,31.23181531,2
61,36.35213,127.34601,yuseong-gu,23,0.221203892,2.099329276,3.183333333,26.43767564,92.18430992,2
64,36.34828,127.33073,yuseong-gu,11,0.205992442,2.226477007,2.1175,31.97632372,5.039033242,2
35,36.35758,127.37206,seo-gu,37,0.167697782,1.966458217,3.575,25.04450008,104.0540121,2
77,36.36836,127.44031,daedeog-gu,7,0.202692308,2.767179487,3.64,31.78205128,6.923076923,2
137,36.31838,127.41165,jung-gu,5,0.280736467,3.267719373,1.29,33.53062678,8.858831909,2
172,36.31328,127.434,jung-gu,19,0.176828104,1.922348837,1.736666667,31.26625105,49.13359374,2
52,36.34348,127.38114,seo-gu,23,0.141279844,1.941459999,3.185,25.84179608,401.2388945,2
40,36.35279,127.35605,seo-gu,7,0.171220794,2.114997174,3.18,23.6250316,56.24833058,2
2,36.37439,127.39238,yuseong-gu,25,0.159212121,1.793121212,2.32,31.63333333,29.03636364,2
145,36.34901,127.34753,yuseong-gu,4,0.414711439,3.048627906,2.12,37.24533379,27.67751632,2
135,36.32069,127.40595,jung-gu,13,0.296472631,3.329303513,1.45,33.9814134,10.4624183,2
169,36.33638,127.43026,dong-gu,9,0.15772537,1.818820402,2.78,32.35968379,49.53082272,2
118,36.34858,127.43508,dong-gu,22,0.142157895,1.621772556,3.01,14.83214286,448.8539474,2
89,36.31978,127.39241,jung-gu,11,0.271983471,3.288099174,1.47,35.01652893,6.140495868,2
223,36.35341,127.45401,daedeog-gu,11,0.191830964,2.762601948,4.363333333,31.15645223,6.92575554,2
122,36.35853,127.42368,daedeog-gu,30,0.168372276,2.127397137,2.713333333,14.68543675,27.17047911,2
90,36.31602,127.3874,jung-gu,7,0.21424285,2.560168019,1.723333333,32.6103216,8.224343654,2
97,36.31039,127.45561,dong-gu,17,0.139300618,1.430893129,1,8.438585272,62.75822345,2
67,36.34491,127.33557,yuseong-gu,11,0.168181818,1.873386364,2,30.40681818,4.431060606,2
81,36.36466,127.44097,daedeog-gu,3,0.194183992,2.7003465,3.695,31.76940402,6.556133056,2
141,36.33088,127.41908,jung-gu,6,0.162478637,1.857136793,3.023333333,31.88065778,53.96536847,2
156,36.33596,127.4149,jung-gu,12,0.159182399,1.838312526,2.69,32.20222703,54.86993435,2
98,36.30542,127.45454,dong-gu,4,0.166121673,1.541206936,1.065,7.849406614,495.1023591,2
69,36.34279,127.33748,yuseong-gu,14,0.168181818,1.873386364,2,30.40681818,4.431060606,2
167,36.32692,127.43491,dong-gu,12,0.14237705,1.638427892,3.4475,21.63139269,226.9613916,2
221,36.34912,127.36835,seo-gu,1,0.209536424,2.767417219,2.08,34.17218543,0,2
49,36.34721,127.39003,seo-gu,32,0.188739206,2.109896373,3.18,33.08462867,205.6303972,2
191,36.32123,127.44496,dong-gu,16,0.148493826,1.660854486,1.91,27.52280236,49.38924566,2
13,36.35881,127.39541,seo-gu,23,0.176111619,2.231277174,3.426666667,27.73210724,28.25020647,2
147,36.31631,127.34522,seo-gu,3,0.174342716,1.880358902,2.145,29.44130894,13.00063336,2
114,36.32974,127.39678,jung-gu,6,0.158571429,1.774285714,2.51,30.57142857,5.714285714,2
185,36.35513,127.44602,daedeog-gu,8,0.20565239,2.859631408,4.13,31.22826602,7.428680543,2
6,36.36232,127.37643,seo-gu,17,0.220044909,2.310910853,2.65,21.65159138,197.0569283,2
91,36.31692,127.39247,jung-gu,3,0.257991736,3.168049587,1.43,35.15826446,5.420247934,2
224,36.30734,127.36403,seo-gu,27,0.234424846,2.405192631,1.76,34.50842702,14.71452055,2
218,36.31819,127.41697,jung-gu,7,0.232109589,2.671681582,1.8475,30.6275887,92.38533686,2
152,36.33222,127.43205,dong-gu,14,0.150831825,1.753631909,2.94,29.26572753,91.32229918,2
142,36.33154,127.42249,jung-gu,13,0.160948474,1.843351665,2.71,32.45235319,49.59599234,2
143,36.32783,127.42628,jung-gu,31,0.139096764,1.631671271,3.66,25.43677191,195.5973429,2
83,36.33065,127.39826,jung-gu,9,0.158571429,1.774285714,2.51,30.57142857,5.714285714,2
184,36.35257,127.41554,daedeog-gu,5,0.136342478,1.667365791,2.643333333,22.44909047,63.96597189,2
198,36.31381,127.37964,seo-gu,19,0.224420879,2.649792844,1.6825,32.15090646,12.22908106,2
155,36.35845,127.41124,daedeog-gu,16,0.146777778,1.747632479,2.855,28.46068376,67.12820513,2
116,36.35524,127.43679,dong-gu,9,0.176448657,2.385254565,3.72,23.98970219,29.58732338,2
94,36.31696,127.45461,dong-gu,5,0.138467426,1.493646551,1.43,23.74904506,34.17617945,2
63,36.34838,127.33577,yuseong-gu,7,0.176325948,1.93682896,2.28,30.79925392,5.217319097,2
157,36.34068,127.41063,jung-gu,12,0.161124718,1.855314075,2.3125,32.81042044,54.41099998,2
219,36.31309,127.39943,jung-gu,10,0.277017211,3.17301864,1.24,33.88293234,6.677443933,2
163,36.43307,127.38411,yuseong-gu,6,0.152684476,1.639490962,1.253333333,32.8420521,18.0156034,2
175,36.30235,127.33983,seo-gu,7,0.274140373,3.188302799,1.175,36.7177693,21.97485157,2
53,36.34336,127.38346,seo-gu,13,0.155273205,2.083002324,3.6675,23.97006827,424.8873803,2
99,36.30669,127.45683,dong-gu,6,0.13464488,1.424095314,1.3,5.471194109,73.71901622,2
209,36.37437,127.42808,daedeog-gu,1,0.212734878,2.864137709,3.335,32.25160875,8.107464607,2
164,36.42771,127.38739,yuseong-gu,8,0.147772131,1.604424679,1.573333333,32.74179258,18.94640568,2
70,36.33805,127.33836,yuseong-gu,20,0.174492651,1.878678248,2.0075,29.48568707,11.48523284,2
72,36.37017,127.42936,daedeog-gu,1,0.202760241,2.761414141,3.643333333,31.76031145,10.06320146,2
171,36.32361,127.42865,jung-gu,7,0.134037189,1.561228839,3.26,27.60514074,383.6296154,2
134,36.32606,127.40783,jung-gu,8,0.137155853,1.721564485,3.52,29.41863214,206.2665088,2
196,36.37411,127.4203,daedeog-gu,4,0.196454545,2.680556818,3.345,30.95681818,9.027272727,2
